date,Car Washing Services,isPartial
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,25,False
2018-08-12,0,False
2018-08-19,47,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,29,False
2018-10-07,20,False
2018-10-14,57,False
2018-10-21,48,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,19,False
2018-11-18,37,False
2018-11-25,40,False
2018-12-02,35,False
2018-12-09,18,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,49,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,26,False
2019-02-17,0,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,20,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,59,False
2019-04-21,0,False
2019-04-28,22,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,30,False
2019-05-26,37,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,47,False
2019-06-23,31,False
2019-06-30,25,False
2019-07-07,27,False
2019-07-14,23,False
2019-07-21,19,False
2019-07-28,0,False
2019-08-04,21,False
2019-08-11,53,False
2019-08-18,21,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,29,False
2019-09-15,59,False
2019-09-22,22,False
2019-09-29,63,False
2019-10-06,31,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,26,False
2019-11-03,53,False
2019-11-10,23,False
2019-11-17,39,False
2019-11-24,42,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,65,False
2019-12-22,25,False
2019-12-29,35,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,17,False
2020-02-09,0,False
2020-02-16,15,False
2020-02-23,51,False
2020-03-01,14,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,17,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,32,False
2020-06-14,55,False
2020-06-21,26,False
2020-06-28,18,False
2020-07-05,24,False
2020-07-12,16,False
2020-07-19,0,False
2020-07-26,0,False
2020-08-02,0,False
2020-08-09,29,False
2020-08-16,51,False
2020-08-23,0,False
2020-08-30,21,False
2020-09-06,24,False
2020-09-13,0,False
2020-09-20,29,False
2020-09-27,35,False
2020-10-04,26,False
2020-10-11,28,False
2020-10-18,18,False
2020-10-25,0,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,28,False
2020-11-29,0,False
2020-12-06,43,False
2020-12-13,0,False
2020-12-20,17,False
2020-12-27,22,False
2021-01-03,16,False
2021-01-10,0,False
2021-01-17,0,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,25,False
2021-02-14,0,False
2021-02-21,76,False
2021-02-28,40,False
2021-03-07,32,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,41,False
2021-04-04,0,False
2021-04-11,16,False
2021-04-18,20,False
2021-04-25,0,False
2021-05-02,0,False
2021-05-09,0,False
2021-05-16,0,False
2021-05-23,16,False
2021-05-30,42,False
2021-06-06,0,False
2021-06-13,0,False
2021-06-20,16,False
2021-06-27,0,False
2021-07-04,24,False
2021-07-11,0,False
2021-07-18,0,False
2021-07-25,0,False
2021-08-01,21,False
2021-08-08,0,False
2021-08-15,0,False
2021-08-22,0,False
2021-08-29,0,False
2021-09-05,38,False
2021-09-12,19,False
2021-09-19,0,False
2021-09-26,21,False
2021-10-03,0,False
2021-10-10,17,False
2021-10-17,43,False
2021-10-24,0,False
2021-10-31,0,False
2021-11-07,0,False
2021-11-14,0,False
2021-11-21,0,False
2021-11-28,37,False
2021-12-05,26,False
2021-12-12,57,False
2021-12-19,0,False
2021-12-26,32,False
2022-01-02,25,False
2022-01-09,0,False
2022-01-16,30,False
2022-01-23,52,False
2022-01-30,40,False
2022-02-06,0,False
2022-02-13,30,False
2022-02-20,14,False
2022-02-27,0,False
2022-03-06,24,False
2022-03-13,25,False
2022-03-20,0,False
2022-03-27,0,False
2022-04-03,35,False
2022-04-10,36,False
2022-04-17,30,False
2022-04-24,30,False
2022-05-01,0,False
2022-05-08,0,False
2022-05-15,35,False
2022-05-22,15,False
2022-05-29,55,False
2022-06-05,52,False
2022-06-12,22,False
2022-06-19,0,False
2022-06-26,0,False
2022-07-03,0,False
2022-07-10,18,False
2022-07-17,0,False
2022-07-24,72,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,39,False
2022-08-21,52,False
2022-08-28,32,False
2022-09-04,37,False
2022-09-11,16,False
2022-09-18,0,False
2022-09-25,50,False
2022-10-02,0,False
2022-10-09,0,False
2022-10-16,13,False
2022-10-23,0,False
2022-10-30,43,False
2022-11-06,15,False
2022-11-13,13,False
2022-11-20,24,False
2022-11-27,0,False
2022-12-04,0,False
2022-12-11,44,False
2022-12-18,24,False
2022-12-25,16,False
2023-01-01,55,False
2023-01-08,25,False
2023-01-15,100,False
2023-01-22,43,False
2023-01-29,20,False
2023-02-05,23,False
2023-02-12,0,False
2023-02-19,38,False
2023-02-26,40,False
2023-03-05,0,False
2023-03-12,0,False
2023-03-19,25,False
2023-03-26,18,False
2023-04-02,33,False
2023-04-09,33,False
2023-04-16,56,False
2023-04-23,0,False
2023-04-30,0,False
2023-05-07,0,False
2023-05-14,52,False
2023-05-21,15,False
2023-05-28,76,False
2023-06-04,47,True
