date,Local Selling,isPartial
2018-06-10,44,False
2018-06-17,34,False
2018-06-24,34,False
2018-07-01,43,False
2018-07-08,34,False
2018-07-15,21,False
2018-07-22,42,False
2018-07-29,35,False
2018-08-05,38,False
2018-08-12,37,False
2018-08-19,33,False
2018-08-26,39,False
2018-09-02,38,False
2018-09-09,40,False
2018-09-16,35,False
2018-09-23,39,False
2018-09-30,48,False
2018-10-07,52,False
2018-10-14,39,False
2018-10-21,45,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,40,False
2018-11-18,40,False
2018-11-25,54,False
2018-12-02,54,False
2018-12-09,33,False
2018-12-16,46,False
2018-12-23,29,False
2018-12-30,39,False
2019-01-06,38,False
2019-01-13,26,False
2019-01-20,46,False
2019-01-27,36,False
2019-02-03,39,False
2019-02-10,34,False
2019-02-17,50,False
2019-02-24,41,False
2019-03-03,45,False
2019-03-10,55,False
2019-03-17,32,False
2019-03-24,43,False
2019-03-31,36,False
2019-04-07,40,False
2019-04-14,24,False
2019-04-21,50,False
2019-04-28,42,False
2019-05-05,40,False
2019-05-12,32,False
2019-05-19,35,False
2019-05-26,34,False
2019-06-02,36,False
2019-06-09,37,False
2019-06-16,33,False
2019-06-23,39,False
2019-06-30,38,False
2019-07-07,42,False
2019-07-14,32,False
2019-07-21,27,False
2019-07-28,33,False
2019-08-04,29,False
2019-08-11,45,False
2019-08-18,38,False
2019-08-25,46,False
2019-09-01,30,False
2019-09-08,44,False
2019-09-15,49,False
2019-09-22,35,False
2019-09-29,45,False
2019-10-06,60,False
2019-10-13,46,False
2019-10-20,46,False
2019-10-27,38,False
2019-11-03,45,False
2019-11-10,40,False
2019-11-17,47,False
2019-11-24,35,False
2019-12-01,43,False
2019-12-08,42,False
2019-12-15,33,False
2019-12-22,26,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,45,False
2020-01-19,26,False
2020-01-26,52,False
2020-02-02,41,False
2020-02-09,43,False
2020-02-16,44,False
2020-02-23,49,False
2020-03-01,46,False
2020-03-08,42,False
2020-03-15,45,False
2020-03-22,50,False
2020-03-29,51,False
2020-04-05,67,False
2020-04-12,78,False
2020-04-19,70,False
2020-04-26,87,False
2020-05-03,100,False
2020-05-10,71,False
2020-05-17,49,False
2020-05-24,49,False
2020-05-31,54,False
2020-06-07,71,False
2020-06-14,66,False
2020-06-21,62,False
2020-06-28,55,False
2020-07-05,58,False
2020-07-12,63,False
2020-07-19,65,False
2020-07-26,44,False
2020-08-02,61,False
2020-08-09,73,False
2020-08-16,54,False
2020-08-23,49,False
2020-08-30,57,False
2020-09-06,51,False
2020-09-13,58,False
2020-09-20,58,False
2020-09-27,70,False
2020-10-04,64,False
2020-10-11,68,False
2020-10-18,59,False
2020-10-25,57,False
2020-11-01,46,False
2020-11-08,66,False
2020-11-15,67,False
2020-11-22,59,False
2020-11-29,72,False
2020-12-06,55,False
2020-12-13,68,False
2020-12-20,49,False
2020-12-27,40,False
2021-01-03,42,False
2021-01-10,59,False
2021-01-17,54,False
2021-01-24,51,False
2021-01-31,52,False
2021-02-07,54,False
2021-02-14,61,False
2021-02-21,56,False
2021-02-28,42,False
2021-03-07,50,False
2021-03-14,39,False
2021-03-21,60,False
2021-03-28,58,False
2021-04-04,59,False
2021-04-11,48,False
2021-04-18,60,False
2021-04-25,62,False
2021-05-02,63,False
2021-05-09,68,False
2021-05-16,51,False
2021-05-23,50,False
2021-05-30,41,False
2021-06-06,45,False
2021-06-13,40,False
2021-06-20,45,False
2021-06-27,36,False
2021-07-04,32,False
2021-07-11,33,False
2021-07-18,37,False
2021-07-25,38,False
2021-08-01,39,False
2021-08-08,47,False
2021-08-15,34,False
2021-08-22,32,False
2021-08-29,50,False
2021-09-05,52,False
2021-09-12,68,False
2021-09-19,56,False
2021-09-26,74,False
2021-10-03,53,False
2021-10-10,70,False
2021-10-17,67,False
